"migration_category_series","date","location","metric","metric_value","rundate"
"Interstate",1981-06-01,"New South Wales","Net Interstate Migration",-6330,2022-12-15
"Interstate",1981-06-01,"Victoria","Net Interstate Migration",-3330,2022-12-15
"Interstate",1981-06-01,"Queensland","Net Interstate Migration",8558,2022-12-15
"Interstate",1981-06-01,"South Australia","Net Interstate Migration",-1675,2022-12-15
"Interstate",1981-06-01,"Western Australia","Net Interstate Migration",680,2022-12-15
"Interstate",1981-06-01,"Tasmania","Net Interstate Migration",-274,2022-12-15
"Interstate",1981-06-01,"Northern Territory","Net Interstate Migration",1806,2022-12-15
"Interstate",1981-06-01,"Australian Capital Territory","Net Interstate Migration",565,2022-12-15
"Interstate",1981-09-01,"New South Wales","Net Interstate Migration",-7768,2022-12-15
"Interstate",1981-09-01,"Victoria","Net Interstate Migration",-4897,2022-12-15
"Interstate",1981-09-01,"Queensland","Net Interstate Migration",11740,2022-12-15
"Interstate",1981-09-01,"South Australia","Net Interstate Migration",-1846,2022-12-15
"Interstate",1981-09-01,"Western Australia","Net Interstate Migration",2002,2022-12-15
"Interstate",1981-09-01,"Tasmania","Net Interstate Migration",-480,2022-12-15
"Interstate",1981-09-01,"Northern Territory","Net Interstate Migration",1264,2022-12-15
"Interstate",1981-09-01,"Australian Capital Territory","Net Interstate Migration",-15,2022-12-15
"Interstate",1981-12-01,"New South Wales","Net Interstate Migration",-4528,2022-12-15
"Interstate",1981-12-01,"Victoria","Net Interstate Migration",-4354,2022-12-15
"Interstate",1981-12-01,"Queensland","Net Interstate Migration",10128,2022-12-15
"Interstate",1981-12-01,"South Australia","Net Interstate Migration",-988,2022-12-15
"Interstate",1981-12-01,"Western Australia","Net Interstate Migration",441,2022-12-15
"Interstate",1981-12-01,"Tasmania","Net Interstate Migration",-810,2022-12-15
"Interstate",1981-12-01,"Northern Territory","Net Interstate Migration",935,2022-12-15
"Interstate",1981-12-01,"Australian Capital Territory","Net Interstate Migration",-824,2022-12-15
"Interstate",1982-03-01,"New South Wales","Net Interstate Migration",-3824,2022-12-15
"Interstate",1982-03-01,"Victoria","Net Interstate Migration",-3393,2022-12-15
"Interstate",1982-03-01,"Queensland","Net Interstate Migration",7005,2022-12-15
"Interstate",1982-03-01,"South Australia","Net Interstate Migration",-602,2022-12-15
"Interstate",1982-03-01,"Western Australia","Net Interstate Migration",494,2022-12-15
"Interstate",1982-03-01,"Tasmania","Net Interstate Migration",-106,2022-12-15
"Interstate",1982-03-01,"Northern Territory","Net Interstate Migration",468,2022-12-15
"Interstate",1982-03-01,"Australian Capital Territory","Net Interstate Migration",-42,2022-12-15
"Interstate",1982-06-01,"New South Wales","Net Interstate Migration",-3464,2022-12-15
"Interstate",1982-06-01,"Victoria","Net Interstate Migration",-1785,2022-12-15
"Interstate",1982-06-01,"Queensland","Net Interstate Migration",6580,2022-12-15
"Interstate",1982-06-01,"South Australia","Net Interstate Migration",-1439,2022-12-15
"Interstate",1982-06-01,"Western Australia","Net Interstate Migration",621,2022-12-15
"Interstate",1982-06-01,"Tasmania","Net Interstate Migration",-626,2022-12-15
"Interstate",1982-06-01,"Northern Territory","Net Interstate Migration",-598,2022-12-15
"Interstate",1982-06-01,"Australian Capital Territory","Net Interstate Migration",711,2022-12-15
"Interstate",1982-09-01,"New South Wales","Net Interstate Migration",-5094,2022-12-15
"Interstate",1982-09-01,"Victoria","Net Interstate Migration",-1840,2022-12-15
"Interstate",1982-09-01,"Queensland","Net Interstate Migration",8184,2022-12-15
"Interstate",1982-09-01,"South Australia","Net Interstate Migration",-722,2022-12-15
"Interstate",1982-09-01,"Western Australia","Net Interstate Migration",504,2022-12-15
"Interstate",1982-09-01,"Tasmania","Net Interstate Migration",-555,2022-12-15
"Interstate",1982-09-01,"Northern Territory","Net Interstate Migration",-47,2022-12-15
"Interstate",1982-09-01,"Australian Capital Territory","Net Interstate Migration",-430,2022-12-15
"Interstate",1982-12-01,"New South Wales","Net Interstate Migration",-4193,2022-12-15
"Interstate",1982-12-01,"Victoria","Net Interstate Migration",-1739,2022-12-15
"Interstate",1982-12-01,"Queensland","Net Interstate Migration",5730,2022-12-15
"Interstate",1982-12-01,"South Australia","Net Interstate Migration",60,2022-12-15
"Interstate",1982-12-01,"Western Australia","Net Interstate Migration",394,2022-12-15
"Interstate",1982-12-01,"Tasmania","Net Interstate Migration",-328,2022-12-15
"Interstate",1982-12-01,"Northern Territory","Net Interstate Migration",174,2022-12-15
"Interstate",1982-12-01,"Australian Capital Territory","Net Interstate Migration",-98,2022-12-15
"Interstate",1983-03-01,"New South Wales","Net Interstate Migration",-2809,2022-12-15
"Interstate",1983-03-01,"Victoria","Net Interstate Migration",-1196,2022-12-15
"Interstate",1983-03-01,"Queensland","Net Interstate Migration",3430,2022-12-15
"Interstate",1983-03-01,"South Australia","Net Interstate Migration",140,2022-12-15
"Interstate",1983-03-01,"Western Australia","Net Interstate Migration",34,2022-12-15
"Interstate",1983-03-01,"Tasmania","Net Interstate Migration",-487,2022-12-15
"Interstate",1983-03-01,"Northern Territory","Net Interstate Migration",285,2022-12-15
